DateKey,Date,Day,Month,MonthNo,Quarter,Year
20190523,5/23/2019,Thursday,May,5,2,2019
20190524,5/24/2019,Friday,May,5,2,2019
20190525,5/25/2019,Saturday,May,5,2,2019
20190526,5/26/2019,Sunday,May,5,2,2019
20190527,5/27/2019,Monday,May,5,2,2019
20190528,5/28/2019,Tuesday,May,5,2,2019
20190529,5/29/2019,Wednesday,May,5,2,2019
20190530,5/30/2019,Thursday,May,5,2,2019
20190531,5/31/2019,Friday,May,5,2,2019
20190601,6/1/2019,Saturday,Jun,6,2,2019
20190602,6/2/2019,Sunday,Jun,6,2,2019
20190603,6/3/2019,Monday,Jun,6,2,2019
20190604,6/4/2019,Tuesday,Jun,6,2,2019
20190605,6/5/2019,Wednesday,Jun,6,2,2019
20190606,6/6/2019,Thursday,Jun,6,2,2019
20190607,6/7/2019,Friday,Jun,6,2,2019
20190608,6/8/2019,Saturday,Jun,6,2,2019
20190609,6/9/2019,Sunday,Jun,6,2,2019
20190610,6/10/2019,Monday,Jun,6,2,2019
20190611,6/11/2019,Tuesday,Jun,6,2,2019
20190612,6/12/2019,Wednesday,Jun,6,2,2019
20190613,6/13/2019,Thursday,Jun,6,2,2019
20190614,6/14/2019,Friday,Jun,6,2,2019
20190615,6/15/2019,Saturday,Jun,6,2,2019
20190616,6/16/2019,Sunday,Jun,6,2,2019
20190617,6/17/2019,Monday,Jun,6,2,2019
20190618,6/18/2019,Tuesday,Jun,6,2,2019
20190619,6/19/2019,Wednesday,Jun,6,2,2019
20190620,6/20/2019,Thursday,Jun,6,2,2019
20190621,6/21/2019,Friday,Jun,6,2,2019
20190622,6/22/2019,Saturday,Jun,6,2,2019
20190623,6/23/2019,Sunday,Jun,6,2,2019
20190624,6/24/2019,Monday,Jun,6,2,2019
20190625,6/25/2019,Tuesday,Jun,6,2,2019
20190626,6/26/2019,Wednesday,Jun,6,2,2019
20190627,6/27/2019,Thursday,Jun,6,2,2019
20190628,6/28/2019,Friday,Jun,6,2,2019
20190629,6/29/2019,Saturday,Jun,6,2,2019
20190630,6/30/2019,Sunday,Jun,6,2,2019
20190701,7/1/2019,Monday,Jul,7,3,2019
20190702,7/2/2019,Tuesday,Jul,7,3,2019
20190703,7/3/2019,Wednesday,Jul,7,3,2019
20190704,7/4/2019,Thursday,Jul,7,3,2019
20190705,7/5/2019,Friday,Jul,7,3,2019
20190706,7/6/2019,Saturday,Jul,7,3,2019
20190707,7/7/2019,Sunday,Jul,7,3,2019
20190708,7/8/2019,Monday,Jul,7,3,2019
20190709,7/9/2019,Tuesday,Jul,7,3,2019
20190710,7/10/2019,Wednesday,Jul,7,3,2019
20190711,7/11/2019,Thursday,Jul,7,3,2019
20190712,7/12/2019,Friday,Jul,7,3,2019
20190713,7/13/2019,Saturday,Jul,7,3,2019
20190714,7/14/2019,Sunday,Jul,7,3,2019
20190715,7/15/2019,Monday,Jul,7,3,2019
20190716,7/16/2019,Tuesday,Jul,7,3,2019
20190717,7/17/2019,Wednesday,Jul,7,3,2019
20190718,7/18/2019,Thursday,Jul,7,3,2019
20190719,7/19/2019,Friday,Jul,7,3,2019
20190720,7/20/2019,Saturday,Jul,7,3,2019
20190721,7/21/2019,Sunday,Jul,7,3,2019
20190722,7/22/2019,Monday,Jul,7,3,2019
20190723,7/23/2019,Tuesday,Jul,7,3,2019
20190724,7/24/2019,Wednesday,Jul,7,3,2019
20190725,7/25/2019,Thursday,Jul,7,3,2019
20190726,7/26/2019,Friday,Jul,7,3,2019
20190727,7/27/2019,Saturday,Jul,7,3,2019
20190728,7/28/2019,Sunday,Jul,7,3,2019
20190729,7/29/2019,Monday,Jul,7,3,2019
20190730,7/30/2019,Tuesday,Jul,7,3,2019
20190731,7/31/2019,Wednesday,Jul,7,3,2019
20190801,8/1/2019,Thursday,Aug,8,3,2019
20190802,8/2/2019,Friday,Aug,8,3,2019
20190803,8/3/2019,Saturday,Aug,8,3,2019
20190804,8/4/2019,Sunday,Aug,8,3,2019
20190805,8/5/2019,Monday,Aug,8,3,2019
20190806,8/6/2019,Tuesday,Aug,8,3,2019
20190807,8/7/2019,Wednesday,Aug,8,3,2019
20190808,8/8/2019,Thursday,Aug,8,3,2019
20190809,8/9/2019,Friday,Aug,8,3,2019
20190810,8/10/2019,Saturday,Aug,8,3,2019
20190811,8/11/2019,Sunday,Aug,8,3,2019
20190812,8/12/2019,Monday,Aug,8,3,2019
20190813,8/13/2019,Tuesday,Aug,8,3,2019
20190814,8/14/2019,Wednesday,Aug,8,3,2019
20190815,8/15/2019,Thursday,Aug,8,3,2019
20190816,8/16/2019,Friday,Aug,8,3,2019
20190817,8/17/2019,Saturday,Aug,8,3,2019
20190818,8/18/2019,Sunday,Aug,8,3,2019
20190819,8/19/2019,Monday,Aug,8,3,2019
20190820,8/20/2019,Tuesday,Aug,8,3,2019
20190821,8/21/2019,Wednesday,Aug,8,3,2019
20190822,8/22/2019,Thursday,Aug,8,3,2019
20190823,8/23/2019,Friday,Aug,8,3,2019
20190824,8/24/2019,Saturday,Aug,8,3,2019
20190825,8/25/2019,Sunday,Aug,8,3,2019
20190826,8/26/2019,Monday,Aug,8,3,2019
20190827,8/27/2019,Tuesday,Aug,8,3,2019
20190828,8/28/2019,Wednesday,Aug,8,3,2019
20190829,8/29/2019,Thursday,Aug,8,3,2019
20190830,8/30/2019,Friday,Aug,8,3,2019
20190831,8/31/2019,Saturday,Aug,8,3,2019
20190901,9/1/2019,Sunday,Sep,9,3,2019
20190902,9/2/2019,Monday,Sep,9,3,2019
20190903,9/3/2019,Tuesday,Sep,9,3,2019
20190904,9/4/2019,Wednesday,Sep,9,3,2019
20190905,9/5/2019,Thursday,Sep,9,3,2019
20190906,9/6/2019,Friday,Sep,9,3,2019
20190907,9/7/2019,Saturday,Sep,9,3,2019
20190908,9/8/2019,Sunday,Sep,9,3,2019
20190909,9/9/2019,Monday,Sep,9,3,2019
20190910,9/10/2019,Tuesday,Sep,9,3,2019
20190911,9/11/2019,Wednesday,Sep,9,3,2019
20190912,9/12/2019,Thursday,Sep,9,3,2019
20190913,9/13/2019,Friday,Sep,9,3,2019
20190914,9/14/2019,Saturday,Sep,9,3,2019
20190915,9/15/2019,Sunday,Sep,9,3,2019
20190916,9/16/2019,Monday,Sep,9,3,2019
20190917,9/17/2019,Tuesday,Sep,9,3,2019
20190918,9/18/2019,Wednesday,Sep,9,3,2019
20190919,9/19/2019,Thursday,Sep,9,3,2019
20190920,9/20/2019,Friday,Sep,9,3,2019
20190921,9/21/2019,Saturday,Sep,9,3,2019
20190922,9/22/2019,Sunday,Sep,9,3,2019
20190923,9/23/2019,Monday,Sep,9,3,2019
20190924,9/24/2019,Tuesday,Sep,9,3,2019
20190925,9/25/2019,Wednesday,Sep,9,3,2019
20190926,9/26/2019,Thursday,Sep,9,3,2019
20190927,9/27/2019,Friday,Sep,9,3,2019
20190928,9/28/2019,Saturday,Sep,9,3,2019
20190929,9/29/2019,Sunday,Sep,9,3,2019
20190930,9/30/2019,Monday,Sep,9,3,2019
20191001,10/1/2019,Tuesday,Oct,10,4,2019
20191002,10/2/2019,Wednesday,Oct,10,4,2019
20191003,10/3/2019,Thursday,Oct,10,4,2019
20191004,10/4/2019,Friday,Oct,10,4,2019
20191005,10/5/2019,Saturday,Oct,10,4,2019
20191006,10/6/2019,Sunday,Oct,10,4,2019
20191007,10/7/2019,Monday,Oct,10,4,2019
20191008,10/8/2019,Tuesday,Oct,10,4,2019
20191009,10/9/2019,Wednesday,Oct,10,4,2019
20191010,10/10/2019,Thursday,Oct,10,4,2019
20191011,10/11/2019,Friday,Oct,10,4,2019
20191012,10/12/2019,Saturday,Oct,10,4,2019
20191013,10/13/2019,Sunday,Oct,10,4,2019
20191014,10/14/2019,Monday,Oct,10,4,2019
20191015,10/15/2019,Tuesday,Oct,10,4,2019
20191016,10/16/2019,Wednesday,Oct,10,4,2019
20191017,10/17/2019,Thursday,Oct,10,4,2019
20191018,10/18/2019,Friday,Oct,10,4,2019
20191019,10/19/2019,Saturday,Oct,10,4,2019
20191020,10/20/2019,Sunday,Oct,10,4,2019
20191021,10/21/2019,Monday,Oct,10,4,2019
20191022,10/22/2019,Tuesday,Oct,10,4,2019
20191023,10/23/2019,Wednesday,Oct,10,4,2019
20191024,10/24/2019,Thursday,Oct,10,4,2019
20191025,10/25/2019,Friday,Oct,10,4,2019
20191026,10/26/2019,Saturday,Oct,10,4,2019
20191027,10/27/2019,Sunday,Oct,10,4,2019
20191028,10/28/2019,Monday,Oct,10,4,2019
20191029,10/29/2019,Tuesday,Oct,10,4,2019
20191030,10/30/2019,Wednesday,Oct,10,4,2019
20191031,10/31/2019,Thursday,Oct,10,4,2019
20191101,11/1/2019,Friday,Nov,11,4,2019
20191102,11/2/2019,Saturday,Nov,11,4,2019
20191103,11/3/2019,Sunday,Nov,11,4,2019
20191104,11/4/2019,Monday,Nov,11,4,2019
20191105,11/5/2019,Tuesday,Nov,11,4,2019
20191106,11/6/2019,Wednesday,Nov,11,4,2019
20191107,11/7/2019,Thursday,Nov,11,4,2019
20191108,11/8/2019,Friday,Nov,11,4,2019
20191109,11/9/2019,Saturday,Nov,11,4,2019
20191110,11/10/2019,Sunday,Nov,11,4,2019
20191111,11/11/2019,Monday,Nov,11,4,2019
20191112,11/12/2019,Tuesday,Nov,11,4,2019
20191113,11/13/2019,Wednesday,Nov,11,4,2019
20191114,11/14/2019,Thursday,Nov,11,4,2019
20191115,11/15/2019,Friday,Nov,11,4,2019
20191116,11/16/2019,Saturday,Nov,11,4,2019
20191117,11/17/2019,Sunday,Nov,11,4,2019
20191118,11/18/2019,Monday,Nov,11,4,2019
20191119,11/19/2019,Tuesday,Nov,11,4,2019
20191120,11/20/2019,Wednesday,Nov,11,4,2019
20191121,11/21/2019,Thursday,Nov,11,4,2019
20191122,11/22/2019,Friday,Nov,11,4,2019
20191123,11/23/2019,Saturday,Nov,11,4,2019
20191124,11/24/2019,Sunday,Nov,11,4,2019
20191125,11/25/2019,Monday,Nov,11,4,2019
20191126,11/26/2019,Tuesday,Nov,11,4,2019
20191127,11/27/2019,Wednesday,Nov,11,4,2019
20191128,11/28/2019,Thursday,Nov,11,4,2019
20191129,11/29/2019,Friday,Nov,11,4,2019
20191130,11/30/2019,Saturday,Nov,11,4,2019
20191201,12/1/2019,Sunday,Dec,12,4,2019
20191202,12/2/2019,Monday,Dec,12,4,2019
20191203,12/3/2019,Tuesday,Dec,12,4,2019
20191204,12/4/2019,Wednesday,Dec,12,4,2019
20191205,12/5/2019,Thursday,Dec,12,4,2019
20191206,12/6/2019,Friday,Dec,12,4,2019
20191207,12/7/2019,Saturday,Dec,12,4,2019
20191208,12/8/2019,Sunday,Dec,12,4,2019
20191209,12/9/2019,Monday,Dec,12,4,2019
20191210,12/10/2019,Tuesday,Dec,12,4,2019
20191211,12/11/2019,Wednesday,Dec,12,4,2019
20191212,12/12/2019,Thursday,Dec,12,4,2019
20191213,12/13/2019,Friday,Dec,12,4,2019
20191214,12/14/2019,Saturday,Dec,12,4,2019
20191215,12/15/2019,Sunday,Dec,12,4,2019
20191216,12/16/2019,Monday,Dec,12,4,2019
20191217,12/17/2019,Tuesday,Dec,12,4,2019
20191218,12/18/2019,Wednesday,Dec,12,4,2019
20191219,12/19/2019,Thursday,Dec,12,4,2019
20191220,12/20/2019,Friday,Dec,12,4,2019
20191221,12/21/2019,Saturday,Dec,12,4,2019
20191222,12/22/2019,Sunday,Dec,12,4,2019
20191223,12/23/2019,Monday,Dec,12,4,2019
20191224,12/24/2019,Tuesday,Dec,12,4,2019
20191225,12/25/2019,Wednesday,Dec,12,4,2019
20191226,12/26/2019,Thursday,Dec,12,4,2019
20191227,12/27/2019,Friday,Dec,12,4,2019
20191228,12/28/2019,Saturday,Dec,12,4,2019
20191229,12/29/2019,Sunday,Dec,12,4,2019
20191230,12/30/2019,Monday,Dec,12,4,2019
20191231,12/31/2019,Tuesday,Dec,12,4,2019
20200101,1/1/2020,Wednesday,Jan,1,1,2020
20200102,1/2/2020,Thursday,Jan,1,1,2020
20200103,1/3/2020,Friday,Jan,1,1,2020
20200104,1/4/2020,Saturday,Jan,1,1,2020
20200105,1/5/2020,Sunday,Jan,1,1,2020
20200106,1/6/2020,Monday,Jan,1,1,2020
20200107,1/7/2020,Tuesday,Jan,1,1,2020
20200108,1/8/2020,Wednesday,Jan,1,1,2020
20200109,1/9/2020,Thursday,Jan,1,1,2020
20200110,1/10/2020,Friday,Jan,1,1,2020
20200111,1/11/2020,Saturday,Jan,1,1,2020
20200112,1/12/2020,Sunday,Jan,1,1,2020
20200113,1/13/2020,Monday,Jan,1,1,2020
20200114,1/14/2020,Tuesday,Jan,1,1,2020
20200115,1/15/2020,Wednesday,Jan,1,1,2020
20200116,1/16/2020,Thursday,Jan,1,1,2020
20200117,1/17/2020,Friday,Jan,1,1,2020
20200118,1/18/2020,Saturday,Jan,1,1,2020
20200119,1/19/2020,Sunday,Jan,1,1,2020
20200120,1/20/2020,Monday,Jan,1,1,2020
20200121,1/21/2020,Tuesday,Jan,1,1,2020
20200122,1/22/2020,Wednesday,Jan,1,1,2020
20200123,1/23/2020,Thursday,Jan,1,1,2020
20200124,1/24/2020,Friday,Jan,1,1,2020
20200125,1/25/2020,Saturday,Jan,1,1,2020
20200126,1/26/2020,Sunday,Jan,1,1,2020
20200127,1/27/2020,Monday,Jan,1,1,2020
20200128,1/28/2020,Tuesday,Jan,1,1,2020
20200129,1/29/2020,Wednesday,Jan,1,1,2020
20200130,1/30/2020,Thursday,Jan,1,1,2020
20200131,1/31/2020,Friday,Jan,1,1,2020
20200201,2/1/2020,Saturday,Feb,2,1,2020
20200202,2/2/2020,Sunday,Feb,2,1,2020
20200203,2/3/2020,Monday,Feb,2,1,2020
20200204,2/4/2020,Tuesday,Feb,2,1,2020
20200205,2/5/2020,Wednesday,Feb,2,1,2020
20200206,2/6/2020,Thursday,Feb,2,1,2020
20200207,2/7/2020,Friday,Feb,2,1,2020
20200208,2/8/2020,Saturday,Feb,2,1,2020
20200209,2/9/2020,Sunday,Feb,2,1,2020
20200210,2/10/2020,Monday,Feb,2,1,2020
20200211,2/11/2020,Tuesday,Feb,2,1,2020
20200212,2/12/2020,Wednesday,Feb,2,1,2020
20200213,2/13/2020,Thursday,Feb,2,1,2020
20200214,2/14/2020,Friday,Feb,2,1,2020
20200215,2/15/2020,Saturday,Feb,2,1,2020
20200216,2/16/2020,Sunday,Feb,2,1,2020
20200217,2/17/2020,Monday,Feb,2,1,2020
20200218,2/18/2020,Tuesday,Feb,2,1,2020
20200219,2/19/2020,Wednesday,Feb,2,1,2020
20200220,2/20/2020,Thursday,Feb,2,1,2020
20200221,2/21/2020,Friday,Feb,2,1,2020
20200222,2/22/2020,Saturday,Feb,2,1,2020
20200223,2/23/2020,Sunday,Feb,2,1,2020
20200224,2/24/2020,Monday,Feb,2,1,2020
20200225,2/25/2020,Tuesday,Feb,2,1,2020
20200226,2/26/2020,Wednesday,Feb,2,1,2020
20200227,2/27/2020,Thursday,Feb,2,1,2020
20200228,2/28/2020,Friday,Feb,2,1,2020
20200229,2/29/2020,Saturday,Feb,2,1,2020
20200301,3/1/2020,Sunday,Mar,3,1,2020
20200302,3/2/2020,Monday,Mar,3,1,2020
20200303,3/3/2020,Tuesday,Mar,3,1,2020
20200304,3/4/2020,Wednesday,Mar,3,1,2020
20200305,3/5/2020,Thursday,Mar,3,1,2020
20200306,3/6/2020,Friday,Mar,3,1,2020
20200307,3/7/2020,Saturday,Mar,3,1,2020
20200308,3/8/2020,Sunday,Mar,3,1,2020
20200309,3/9/2020,Monday,Mar,3,1,2020
20200310,3/10/2020,Tuesday,Mar,3,1,2020
20200311,3/11/2020,Wednesday,Mar,3,1,2020
20200312,3/12/2020,Thursday,Mar,3,1,2020
20200313,3/13/2020,Friday,Mar,3,1,2020
20200314,3/14/2020,Saturday,Mar,3,1,2020
20200315,3/15/2020,Sunday,Mar,3,1,2020
20200316,3/16/2020,Monday,Mar,3,1,2020
20200317,3/17/2020,Tuesday,Mar,3,1,2020
20200318,3/18/2020,Wednesday,Mar,3,1,2020
20200319,3/19/2020,Thursday,Mar,3,1,2020
20200320,3/20/2020,Friday,Mar,3,1,2020
20200321,3/21/2020,Saturday,Mar,3,1,2020
20200322,3/22/2020,Sunday,Mar,3,1,2020
20200323,3/23/2020,Monday,Mar,3,1,2020
20200324,3/24/2020,Tuesday,Mar,3,1,2020
20200325,3/25/2020,Wednesday,Mar,3,1,2020
20200326,3/26/2020,Thursday,Mar,3,1,2020
20200327,3/27/2020,Friday,Mar,3,1,2020
20200328,3/28/2020,Saturday,Mar,3,1,2020
20200329,3/29/2020,Sunday,Mar,3,1,2020
20200330,3/30/2020,Monday,Mar,3,1,2020
20200331,3/31/2020,Tuesday,Mar,3,1,2020
20200401,4/1/2020,Wednesday,Apr,4,2,2020
20200402,4/2/2020,Thursday,Apr,4,2,2020
20200403,4/3/2020,Friday,Apr,4,2,2020
20200404,4/4/2020,Saturday,Apr,4,2,2020
20200405,4/5/2020,Sunday,Apr,4,2,2020
20200406,4/6/2020,Monday,Apr,4,2,2020
20200407,4/7/2020,Tuesday,Apr,4,2,2020
20200408,4/8/2020,Wednesday,Apr,4,2,2020
20200409,4/9/2020,Thursday,Apr,4,2,2020
20200410,4/10/2020,Friday,Apr,4,2,2020
20200411,4/11/2020,Saturday,Apr,4,2,2020
20200412,4/12/2020,Sunday,Apr,4,2,2020
20200413,4/13/2020,Monday,Apr,4,2,2020
20200414,4/14/2020,Tuesday,Apr,4,2,2020
20200415,4/15/2020,Wednesday,Apr,4,2,2020
20200416,4/16/2020,Thursday,Apr,4,2,2020
20200417,4/17/2020,Friday,Apr,4,2,2020
20200418,4/18/2020,Saturday,Apr,4,2,2020
20200419,4/19/2020,Sunday,Apr,4,2,2020
20200420,4/20/2020,Monday,Apr,4,2,2020
20200421,4/21/2020,Tuesday,Apr,4,2,2020
20200422,4/22/2020,Wednesday,Apr,4,2,2020
20200423,4/23/2020,Thursday,Apr,4,2,2020
20200424,4/24/2020,Friday,Apr,4,2,2020
20200425,4/25/2020,Saturday,Apr,4,2,2020
20200426,4/26/2020,Sunday,Apr,4,2,2020
20200427,4/27/2020,Monday,Apr,4,2,2020
20200428,4/28/2020,Tuesday,Apr,4,2,2020
20200429,4/29/2020,Wednesday,Apr,4,2,2020
20200430,4/30/2020,Thursday,Apr,4,2,2020
20200501,5/1/2020,Friday,May,5,2,2020
20200502,5/2/2020,Saturday,May,5,2,2020
20200503,5/3/2020,Sunday,May,5,2,2020
20200504,5/4/2020,Monday,May,5,2,2020
20200505,5/5/2020,Tuesday,May,5,2,2020
20200506,5/6/2020,Wednesday,May,5,2,2020
20200507,5/7/2020,Thursday,May,5,2,2020
20200508,5/8/2020,Friday,May,5,2,2020
20200509,5/9/2020,Saturday,May,5,2,2020
20200510,5/10/2020,Sunday,May,5,2,2020
20200511,5/11/2020,Monday,May,5,2,2020
20200512,5/12/2020,Tuesday,May,5,2,2020
20200513,5/13/2020,Wednesday,May,5,2,2020
20200514,5/14/2020,Thursday,May,5,2,2020
20200515,5/15/2020,Friday,May,5,2,2020
20200516,5/16/2020,Saturday,May,5,2,2020
20200517,5/17/2020,Sunday,May,5,2,2020
20200518,5/18/2020,Monday,May,5,2,2020
20200519,5/19/2020,Tuesday,May,5,2,2020
20200520,5/20/2020,Wednesday,May,5,2,2020
20200521,5/21/2020,Thursday,May,5,2,2020
20200522,5/22/2020,Friday,May,5,2,2020
20200523,5/23/2020,Saturday,May,5,2,2020
20200524,5/24/2020,Sunday,May,5,2,2020
20200525,5/25/2020,Monday,May,5,2,2020
20200526,5/26/2020,Tuesday,May,5,2,2020
20200527,5/27/2020,Wednesday,May,5,2,2020
20200528,5/28/2020,Thursday,May,5,2,2020
20200529,5/29/2020,Friday,May,5,2,2020
20200530,5/30/2020,Saturday,May,5,2,2020
20200531,5/31/2020,Sunday,May,5,2,2020
20200601,6/1/2020,Monday,Jun,6,2,2020
20200602,6/2/2020,Tuesday,Jun,6,2,2020
20200603,6/3/2020,Wednesday,Jun,6,2,2020
